
2023/11/10 (22:27:06) | ===> btop++ v.1.2.13
2023/11/10 (22:27:06) | INFO: Logger set to DEBUG
2023/11/10 (22:27:06) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2023/11/10 (22:27:06) | INFO: Running on /dev/pts/1
2023/11/10 (22:27:06) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme

2023/11/11 (01:03:42) | ===> btop++ v.1.2.13
2023/11/11 (01:03:42) | INFO: Logger set to DEBUG
2023/11/11 (01:03:42) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2023/11/11 (01:03:42) | INFO: Running on /dev/pts/2
2023/11/11 (01:03:42) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme

2023/11/11 (12:30:44) | ===> btop++ v.1.2.13
2023/11/11 (12:30:44) | INFO: Logger set to DEBUG
2023/11/11 (12:30:44) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2023/11/11 (12:30:44) | INFO: Running on /dev/pts/2
2023/11/11 (12:30:44) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme

2023/11/11 (14:52:40) | ===> btop++ v.1.2.13
2023/11/11 (14:52:40) | INFO: Logger set to DEBUG
2023/11/11 (14:52:40) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2023/11/11 (14:52:40) | INFO: Running on /dev/pts/2
2023/11/11 (14:52:40) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme
2023/11/11 (15:00:24) | INFO: Quitting! Runtime: 00:07:44

2023/11/11 (15:22:42) | ===> btop++ v.1.2.13
2023/11/11 (15:22:42) | INFO: Logger set to DEBUG
2023/11/11 (15:22:42) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2023/11/11 (15:22:42) | INFO: Running on /dev/pts/3
2023/11/11 (15:22:43) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme

2023/11/11 (15:24:22) | ===> btop++ v.1.2.13
2023/11/11 (15:24:22) | INFO: Logger set to DEBUG
2023/11/11 (15:24:22) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2023/11/11 (15:24:22) | INFO: Running on /dev/pts/3
2023/11/11 (15:24:22) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme

2023/11/12 (23:26:50) | ===> btop++ v.1.2.13
2023/11/12 (23:26:50) | INFO: Logger set to DEBUG
2023/11/12 (23:26:50) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2023/11/12 (23:26:50) | INFO: Running on /dev/pts/2
2023/11/12 (23:26:50) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme
2023/11/12 (23:26:59) | INFO: Quitting! Runtime: 00:00:09

2023/11/12 (23:27:07) | ===> btop++ v.1.2.13
2023/11/12 (23:27:07) | INFO: Logger set to DEBUG
2023/11/12 (23:27:07) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2023/11/12 (23:27:07) | INFO: Running on /dev/pts/2
2023/11/12 (23:27:07) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme
2023/11/12 (23:27:28) | INFO: Quitting! Runtime: 00:00:21

2023/11/14 (11:55:28) | ===> btop++ v.1.2.13
2023/11/14 (11:55:28) | INFO: Logger set to DEBUG
2023/11/14 (11:55:28) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2023/11/14 (11:55:28) | INFO: Running on /dev/pts/0
2023/11/14 (11:55:28) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme

2023/11/14 (22:17:42) | ===> btop++ v.1.2.13
2023/11/14 (22:17:42) | INFO: Logger set to DEBUG
2023/11/14 (22:17:42) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2023/11/14 (22:17:42) | INFO: Running on /dev/pts/0
2023/11/14 (22:17:42) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme

2023/11/15 (11:31:42) | ===> btop++ v.1.2.13
2023/11/15 (11:31:42) | INFO: Logger set to DEBUG
2023/11/15 (11:31:42) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2023/11/15 (11:31:42) | INFO: Running on /dev/pts/5
2023/11/15 (11:31:42) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme

2023/11/15 (19:55:23) | ===> btop++ v.1.2.13
2023/11/15 (19:55:23) | INFO: Logger set to DEBUG
2023/11/15 (19:55:23) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2023/11/15 (19:55:23) | INFO: Running on /dev/pts/4
2023/11/15 (19:55:23) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme

2023/11/15 (20:15:32) | ===> btop++ v.1.2.13
2023/11/15 (20:15:32) | INFO: Logger set to DEBUG
2023/11/15 (20:15:32) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2023/11/15 (20:15:32) | INFO: Running on /dev/pts/4
